NIT;Razon_Social;Resolucion;Fecha
860005396;PHILIPS COLOMBIANA S.A.S.;299;3/07/1986
890917465;GRIFFITH FOODS S.A.S;24;1/08/1986
890100454;DU PONT DE COLOMBIA S.A.;1649;10/27/1986
890101138;PELAEZ HERMANOS S.A.;1521;9/29/1986
890106778;LABORATORIOS RYMCO S.A.;587;4/25/1986
860531602;LABORATORIOS LEGRAND S.A.;1127;7/17/1986
860529323;SOCIEDAD UNIDA DE ELECTRODOMESTICOS S.A.;560;4/25/1986
860004655;COLOMBIANA DE FRENOS S.A.;961;6/25/1986
860005050;PAVCO S.A.;330;3/11/1986
860005114;AGA FANO FABRICA NACIONAL DE OXIGENO S.A.;115;2/03/1986
860005264;GRASCO S.A.;212;2/26/1986
860030360;FERRETERIA FORERO S.A.;1372;8/27/1986
860002101;CENTRAL DE MEZCLAS S.A.;440;4/02/1986
860002017;CHAIM PEISACH Y CIA - HILANDERIA FONTIBON S.A.;434;4/02/1986
860002693;3 M COLOMBIA S.A.;1031;7/07/1986
860002455;BARNES DE COLOMBIA S.A.;562;4/25/1986
860003168;IMOCOM S.A.;563;4/25/1986
860003216;PRODUCTOS ROCHE S.A.;29;1/10/1986
860002523;CEMEX COLOMBIA S.A.;530;11/25/1985
860002428;BRISTOL FARMACEUTICA S.A.;81;1/24/1986
860002433;UNISYS DE COLOMBIA S.A.;1977;12/10/1986
860002518;UNILEVER ANDINA COLOMBIA LTDA.;481;4/08/1986
860002590;BRENNTAG COLOMBIA S.A.;1471;9/10/1986
860513290;PRODUCTORES DE ENVASES FARMACEUTICOS S.A. PROENFAR S.A.;296;3/07/1986
860515812;GABRIEL DE COLOMBIA S.A.;1378;8/27/1986
860516066;COMERCIALIZADORA FRANIG LTDA;250;2/26/1986
860516806;PERMODA S.A.;960;6/25/1986
860521164;ANIMEX DE COLOMBIA S.A.;1119;7/17/1986
890900043;CIA COLOMBIANA DE TABACO S.A.;63;1/17/1986
890900010;ELECTROQUIMICA COLOMBIANA S.A.;1251;8/08/1986
890900265;COMPAÑIA TEXTIL COLOMBIANA S.A. SATEXCO SA;478;4/08/1986
890900291;SOLLA S.A.;674;5/15/1986
890900293;INDUSTRIAS ROCA S.A.;1570;10/08/1986
890900307;GROUPE SEB COLOMBIA S . A .;297;3/07/1986
890900314;MARQUILLA S.A.;577;4/25/1986
890901298;DYNA Y CIA S.A.;368;3/18/1986
890901335;ELECTROCONTROL S.A.;1252;8/08/1986
