CIIU;ANIO;DECLARANTES;ING_BRUTOS_MM;COSTOS_MM;RENTA_LIQ_MM;MARGEN_COSTO;MARGEN_RENTA;NOMBRE
5613;2022;408;830168.3;842672.5;27629.4;1.0151;0.0333;Expendio de comidas preparadas en cafeterías
5613;2023;464;950957.1;854123.5;64498.2;0.8982;0.0678;Expendio de comidas preparadas en cafeterías
5613;2024;579;1025973.5;928079.2;53746.9;0.9046;0.0524;Expendio de comidas preparadas en cafeterías
5619;2022;517;1897118.9;1795017.6;114173.7;0.9462;0.0602;Otros tipos de expendio de comidas preparadas n.c.p.
5619;2023;586;2195238.3;2062965.5;115420.1;0.9397;0.0526;Otros tipos de expendio de comidas preparadas n.c.p.
5619;2024;695;2340353.1;2179986.1;124173.6;0.9315;0.0531;Otros tipos de expendio de comidas preparadas n.c.p.
5621;2022;1091;682843.1;577259.8;45446.4;0.8454;0.0666;Catering para eventos
5621;2023;1286;1006143.2;763836.5;78298.1;0.7592;0.0778;Catering para eventos
5621;2024;1390;1035159.4;849466.9;78638.8;0.8206;0.076;Catering para eventos
5629;2022;406;1252032.5;1075822.5;59350.0;0.8593;0.0474;Actividades de otros servicios de comidas
5629;2023;448;1313032.5;1100455.6;98869.6;0.8381;0.0753;Actividades de otros servicios de comidas
5629;2024;467;1393934.9;1195465.9;115236.2;0.8576;0.0827;Actividades de otros servicios de comidas
5630;2022;342;188029.1;167426.9;20544.2;0.8904;0.1093;Expendio de bebidas alcohólicas para el consumo dentro del establecimiento
5630;2023;395;581147.0;559212.6;27012.3;0.9623;0.0465;Expendio de bebidas alcohólicas para el consumo dentro del establecimiento
5630;2024;432;642768.5;620117.6;26648.0;0.9648;0.0415;Expendio de bebidas alcohólicas para el consumo dentro del establecimiento
5811;2022;717;976741.2;757968.1;118497.1;0.776;0.1213;Edición de libros
5811;2023;737;1486106.8;1126582.2;131124.3;0.7581;0.0882;Edición de libros
5811;2024;739;2210193.3;1340245.7;143026.4;0.6064;0.0647;Edición de libros
5812;2022;11;5972.7;5731.0;187.6;0.9595;0.0314;Edición de directorios y listas de correo
5812;2023;10;1029.0;738.3;235.6;0.7175;0.2289;Edición de directorios y listas de correo
5812;2024;10;1085.4;940.8;26.4;0.8668;0.0243;Edición de directorios y listas de correo
5813;2022;527;430448.4;417432.4;35227.0;0.9698;0.0818;Edición de periódicos, revistas y otras publicaciones periódicas
5813;2023;509;811531.9;787259.6;32233.3;0.9701;0.0397;Edición de periódicos, revistas y otras publicaciones periódicas
5813;2024;515;748922.8;725545.8;33362.2;0.9688;0.0445;Edición de periódicos, revistas y otras publicaciones periódicas
5819;2022;266;221625.1;194455.3;10024.7;0.8774;0.0452;Otros trabajos de edición
5819;2023;292;288122.9;235754.0;9311.7;0.8182;0.0323;Otros trabajos de edición
5819;2024;280;304557.5;269120.7;10900.2;0.8836;0.0358;Otros trabajos de edición
5820;2022;1281;1016396.6;845807.3;134669.8;0.8322;0.1325;Edición de programas de informática (software)
5820;2023;1327;1307262.1;1091568.4;149453.6;0.835;0.1143;Edición de programas de informática (software)
5820;2024;1335;1590274.2;1155243.4;180095.4;0.7264;0.1132;Edición de programas de informática (software)
5911;2022;2582;2093211.1;1746702.7;230501.8;0.8345;0.1101;Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión
5911;2023;2703;8962917.3;1714359.7;218514.4;0.1913;0.0244;Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión
5911;2024;2835;3134580.0;1779783.9;206250.9;0.5678;0.0658;Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión
5912;2022;206;77502.0;54410.6;14023.4;0.7021;0.1809;Actividades de posproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión
5912;2023;222;105815.7;81320.5;15677.1;0.7685;0.1482;Actividades de postproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión
5912;2024;218;93310.1;84238.4;9914.3;0.9028;0.1063;Actividades de postproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión
5913;2022;77;123854.4;105252.0;16332.6;0.8498;0.1319;Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión
5913;2023;79;132447.5;107707.0;19776.9;0.8132;0.1493;Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión
5913;2024;81;159174.9;135488.1;22721.6;0.8512;0.1427;Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión
5914;2022;84;189279.6;168497.1;17990.4;0.8902;0.095;Actividades de exhibición de películas cinematográficas y videos
5914;2023;91;328239.6;296850.0;29169.5;0.9044;0.0889;Actividades de exhibición de películas cinematográficas y videos
5914;2024;89;327434.4;300649.7;26915.7;0.9182;0.0822;Actividades de exhibición de películas cinematográficas y videos
5920;2022;562;318296.3;239907.1;66878.5;0.7537;0.2101;Actividades de grabación de sonido y edición de musica
5920;2023;604;427739.3;336047.3;78019.2;0.7856;0.1824;Actividades de grabación de sonido y edición de música
5920;2024;633;424619.8;346401.8;64905.4;0.8158;0.1529;Actividades de grabación de sonido y edición de música
6010;2022;747;833199.7;735352.0;65637.0;0.8826;0.0788;Actividades de programación y transmisión en el servicio de radiodifusión sonora
6010;2023;775;1254383.9;944216.5;67710.5;0.7527;0.054;Actividades de programación y transmisión en el servicio de radiodifusión sonora
6010;2024;785;1230265.8;920900.8;75574.0;0.7485;0.0614;Actividades de programación y transmisión en el servicio de radiodifusión sonora
6020;2022;405;3336318.3;2749420.3;313631.4;0.8241;0.094;Actividades de programación y transmisión de televisión
6020;2023;428;3475825.2;3167136.8;196695.9;0.9112;0.0566;Actividades de programación y transmisión de televisión
6020;2024;421;3605427.1;3238530.8;166719.7;0.8982;0.0462;Actividades de programación y transmisión de televisión
6110;2022;1316;7993017.4;8126190.2;331601.8;1.0167;0.0415;Actividades de telecomunicaciones alámbricas
6110;2023;1350;13995722.8;13664610.3;526019.6;0.9763;0.0376;Actividades de telecomunicaciones alámbricas
6110;2024;1357;13845486.2;13375068.7;651819.8;0.966;0.0471;Actividades de telecomunicaciones alámbricas
6120;2022;681;24496600.7;21846918.0;2565405.6;0.8918;0.1047;Actividades de telecomunicaciones inalámbricas
6120;2023;652;2073431.8;2978433.8;79438.5;1.4365;0.0383;Actividades de telecomunicaciones inalámbricas
6120;2024;655;2289460.1;2801822.4;103642.3;1.2238;0.0453;Actividades de telecomunicaciones inalámbricas
6130;2022;162;1400543.2;1328272.8;63436.1;0.9484;0.0453;Actividades de telecomunicación satelital
6130;2023;154;1691409.5;1281670.6;30030.6;0.7578;0.0178;Actividades de telecomunicación satelital
6130;2024;160;1074131.2;1140486.5;21370.5;1.0618;0.0199;Actividades de telecomunicación satelital
6190;2022;1497;5194174.5;4595203.3;525217.8;0.8847;0.1011;Otras actividades de telecomunicaciones
6190;2023;1432;4755898.8;4152288.6;485804.9;0.8731;0.1021;Otras actividades de telecomunicaciones
6190;2024;1405;4580269.0;3957951.4;566017.7;0.8641;0.1236;Otras actividades de telecomunicaciones
6201;2022;8539;21708796.4;15610878.9;2384912.0;0.7191;0.1099;Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)
6201;2023;8962;21496064.7;17345500.5;2212174.3;0.8069;0.1029;Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)
6201;2024;9298;32832429.1;19394164.1;2479523.6;0.5907;0.0755;Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)
6202;2022;3055;12762480.4;10535742.3;1253962.3;0.8255;0.0983;Actividades de consultoría informática y actividades de administración de instalaciones informáticas
